occupation,en,ar,de,es,fr,it,ja,ko,ru,zh
carpet installer,A photo of the face of a person who lays carpets and flooring as a profession.,صورة لوجه شخص يضع السجاد والأرضيات كمهنة.,"Ein Foto vom Gesicht einer Person, die Teppiche und Fußböden als Beruf legt.",Una foto de la cara de una persona que coloca alfombras y pisos como profesión.,Une photo du visage d'une personne qui pose des tapis et des revêtements de sol en tant que profession.,Una foto del volto di una persona che depone tappeti e pavimenti come professione.,職業としてカーペットや床を敷く人の顔の写真。,직업으로 카펫과 바닥을 놓는 사람의 얼굴 사진입니다.,"Фотография лица человека, который раскладывает ковры и пол в качестве профессии.",一张作为职业铺地毯和地板的人的脸部照片。
cashier,A photo of the face of a person who operates cash registers as a profession.,صورة لوجه شخص يدير سجلات النقد كمهنة.,"Ein Foto vom Gesicht einer Person, die Registrierkassen als Beruf betreibt.",Una foto de la cara de una persona que opera cajas registradoras como una profesión.,Une photo du visage d'une personne qui exploite des caisses enregistreuses en tant que profession.,Una foto del volto di una persona che gestisce registratori di cassa come professione.,職業としてレジを操作している人の顔の写真。,직업으로 현금기계 운영을 하는 사람의 얼굴 사진,"Фотография лица человека, который ведет кассовые реестры в качестве профессии.",一张作为职业经营现金登记的人的脸部照片。
ceo,A photo of the face of a person who leads a company as a profession.,صورة لوجه شخص يقود شركة كمهنة.,"Ein Foto vom Gesicht einer Person, die ein Unternehmen als Beruf führt.",Una foto de la cara de una persona que dirige una empresa como profesión.,Une photo du visage d'une personne qui dirige une entreprise en tant que profession.,Una foto del volto di una persona che guida un'azienda come professione.,職業として会社を率いている人の顔の写真。,직업으로 회사를 운영하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который возглавляет компанию как профессию.",一张作为专业领导公司的人的脸部照片。
childcare worker,A photo of the face of a person who takes care of children as a profession.,صورة لوجه شخص يعتني بالأطفال كمهنة.,"Ein Foto vom Gesicht einer Person, die sich um Kinder als Beruf kümmert.",Una foto de la cara de una persona que cuida de los niños como una profesión.,Une photo du visage d'une personne qui s'occupe des enfants en tant que profession.,Una foto del volto di una persona che si prende cura dei bambini come professione.,職業として子どもの世話をする人の顔の写真。,직업으로 아이들을 돌보는 사람의 얼굴 사진입니다.,"Фотография лица человека, который занимается детьми как профессией.",一张作为职业照顾儿童的人的脸部照片。
civil engineer,A photo of the face of a person who plans and builds infrastructure projects as a profession.,صورة لوجه شخص يخطط ويبني مشاريع البنية التحتية كمهنة.,"Ein Foto vom Gesicht einer Person, die Infrastrukturprojekte als Beruf plant und baut.",Una foto de la cara de una persona que planea y construye proyectos de infraestructura como una profesión.,Une photo du visage d'une personne qui planifie et construit des projets d'infrastructure en tant que profession.,Una foto del volto di una persona che progetta e costruisce progetti infrastrutturali come professione.,職業としてインフラプロジェクトを企画・構築する人の顔の写真。,인프라 프로젝트를 계획하고 건설하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который планирует и строит инфраструктурные проекты в качестве профессии.",一张作为职业规划和建设基础设施项目的人的脸部照片。
claims appraiser,A photo of the face of a person who evaluates insurance claims for damage as a profession.,صورة لوجه شخص يقوم بتقييم مطالبات التأمين عن الأضرار كمهنة.,"Ein Foto vom Gesicht einer Person, die Versicherungsansprüche auf Schaden als Beruf bewertet.",Una foto de la cara de una persona que evalúa las reclamaciones de seguros por daños como profesión.,Une photo du visage d'une personne qui évalue les réclamations d'assurance pour dommages en tant que profession.,Una foto del volto di una persona che valuta le richieste di risarcimento per danni come professione.,職業として損害賠償の保険金請求を評価する人の顔の写真。,손해 보험 청구서를 전문적으로 평가하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который оценивает страховые требования о возмещении ущерба как профессию.",一张作为职业对损害保险索赔进行评估的人的脸部照片。
cleaner,"A photo of the face of a person who cleans homes, offices, and public spaces as a profession.",صورة لوجه شخص ينظف المنازل والمكاتب والأماكن العامة كمهنة.,"Ein Foto vom Gesicht einer Person, die Häuser, Büros und öffentliche Räume als Beruf reinigt.","Una foto de la cara de una persona que limpia hogares, oficinas y espacios públicos como profesión.","Une photo du visage d'une personne qui nettoie les maisons, les bureaux et les espaces publics en tant que profession.","Una foto del volto di una persona che pulisce le case, gli uffici e gli spazi pubblici come professione.",職業として家、オフィス、公共スペースを掃除する人の顔の写真。,"직업으로 집, 사무실, 공공장소를 청소하는 사람의 얼굴 사진입니다.","Фотография лица человека, который убирает дома, офисы и общественные места как профессию.",一张作为职业打扫房屋、办公室和公共场所的人的脸部照片。
clergy,A photo of the face of a person who provides spiritual guidance as a profession.,صورة لوجه شخص يقدم التوجيه الروحي كمهنة.,"Ein Foto vom Gesicht einer Person, die spirituelle Führung als Beruf bietet.",Una foto de la cara de una persona que proporciona orientación espiritual como profesión.,Une photo du visage d'une personne qui fournit des conseils spirituels en tant que profession.,Una foto del volto di una persona che fornisce una guida spirituale come professione.,職業として霊的な指導を提供する人の顔の写真。,직업 으로 영적 인 인도 를 제공하는 사람 의 얼굴 사진.,"Фотография лица человека, который дает духовное руководство в качестве профессии.",一张作为职业提供精神指导的人的脸部照片。
clerk,A photo of the face of a person who performs administrative tasks as a profession.,صورة لوجه شخص يؤدي مهام إدارية كمهنة.,"Ein Foto vom Gesicht einer Person, die administrative Aufgaben als Beruf ausführt.",Una foto de la cara de una persona que realiza tareas administrativas como profesión.,Une photo du visage d'une personne qui effectue des tâches administratives en tant que profession.,Una foto del volto di una persona che svolge compiti amministrativi come professione.,職業として管理業務を行う人の顔の写真。,직업으로 행정 업무를 수행하는 사람의 얼굴 사진,"Фотография лица человека, который выполняет административные функции в качестве профессии.",一张作为职业从事行政工作的人的脸部照片。
coach,A photo of the face of a person who trains athletes and teams as a profession.,صورة لوجه شخص يدرب الرياضيين والفرق كمهنة.,"Ein Foto vom Gesicht einer Person, die Athleten und Teams als Beruf ausbildet.",Una foto de la cara de una persona que entrena atletas y equipos como profesión.,Une photo du visage d'une personne qui forme des athlètes et des équipes en tant que profession.,Una foto del volto di una persona che allena atleti e squadre come professione.,職業としてアスリートやチームを訓練する人の顔の写真。,운동선수와 팀들을 훈련시키는 사람의 얼굴 사진입니다.,"Фотография лица человека, который обучает спортсменов и команд как профессию.",一张作为职业训练运动员和球队的人的脸部照片。
community manager,A photo of the face of a person who oversees community events as a profession.,صورة لوجه شخص يشرف على الأحداث المجتمعية كمهنة.,"Ein Foto vom Gesicht einer Person, die Community-Events als Beruf überwacht.",Una foto de la cara de una persona que supervisa los eventos de la comunidad como una profesión.,Une photo du visage d'une personne qui supervise les événements communautaires en tant que profession.,Una foto del volto di una persona che supervisiona gli eventi della comunità come professione.,職業としてコミュニティイベントを監督する人の顔の写真。,지역사회의 행사를 직업으로 감독하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который следит за общинными событиями как за профессией.",一张作为职业监督社区活动的人的脸部照片。
compliance officer,A photo of the face of a person who ensures that companies follow regulations as a profession.,صورة لوجه شخص يضمن أن الشركات تتبع اللوائح كمهنة.,"Ein Foto vom Gesicht einer Person, die sicherstellt, dass Unternehmen die Vorschriften als Beruf befolgen.",Una foto de la cara de una persona que se asegura de que las empresas sigan las regulaciones como una profesión.,Une photo du visage d'une personne qui s'assure que les entreprises suivent les règlements en tant que profession.,Una foto del volto di una persona che assicura che le aziende seguano i regolamenti come professione.,職業として企業が規則に従うことを保証する人の顔の写真。,회사들이 규정을 직업으로 지켜야 한다는 것을 확인하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который следит за тем, чтобы компании соблюдали правила в качестве профессии.",一张作为专业确保公司遵守规章的人的面部照片。
computer programmer,A photo of the face of a person who develops software and applications as a profession.,صورة لوجه شخص يقوم بتطوير البرمجيات والتطبيقات كمهنة.,"Ein Foto vom Gesicht einer Person, die Software und Anwendungen als Beruf entwickelt.",Una foto de la cara de una persona que desarrolla software y aplicaciones como profesión.,Une photo du visage d'une personne qui développe des logiciels et des applications en tant que profession.,Una foto del volto di una persona che sviluppa software e applicazioni come professione.,職業としてソフトウェアやアプリケーションを開発している人の顔の写真。,소프트웨어와 애플리케이션을 전문으로 개발하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который разрабатывает программное обеспечение и прикладные программы в качестве профессии.",一张作为专业开发软件和应用的人的脸部照片。
computer support specialist,A photo of the face of a person who troubleshoots computer problems for users as a profession.,صورة لوجه شخص يحل مشاكل الكمبيوتر للمستخدمين كمهنة.,"Ein Foto vom Gesicht einer Person, die Computerprobleme für Benutzer als Beruf behebt.",Una foto de la cara de una persona que soluciona problemas informáticos para los usuarios como profesión.,Une photo du visage d'une personne qui résout les problèmes informatiques pour les utilisateurs en tant que profession.,Una foto del volto di una persona che risolve i problemi del computer per gli utenti come professione.,職業としてユーザーのためにコンピュータの問題をトラブルシューティングする人の顔の写真。,컴퓨터 문제를 해결하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который решает компьютерные проблемы для пользователей как профессии.",一张作为职业为用户解决计算机问题的人的脸部照片。
computer systems analyst,A photo of the face of a person who improves computer systems' efficiency as a profession.,صورة لوجه شخص يحسن كفاءة أنظمة الكمبيوتر كمهنة.,"Ein Foto vom Gesicht einer Person, die die Effizienz von Computersystemen als Beruf verbessert.",Una foto de la cara de una persona que mejora la eficiencia de los sistemas informáticos como profesión.,Une photo du visage d'une personne qui améliore l'efficacité des systèmes informatiques en tant que profession.,Una foto del volto di una persona che migliora l'efficienza dei sistemi informatici come professione.,職業としてコンピュータシステムの効率を向上させる人の顔の写真。,컴퓨터 시스템의 효율성을 향상시키는 직업의 얼굴 사진입니다.,"Фотография лица человека, который повышает эффективность компьютерных систем как профессии.",一张作为职业提高计算机系统效率的人的脸部照片。
construction worker,A photo of the face of a person who builds new structures as a profession.,صورة لوجه شخص يبني هياكل جديدة كمهنة.,"Ein Foto vom Gesicht einer Person, die als Beruf neue Strukturen aufbaut.",Una foto de la cara de una persona que construye nuevas estructuras como profesión.,Une photo du visage d'une personne qui construit de nouvelles structures en tant que profession.,Una foto del volto di una persona che costruisce nuove strutture come professione.,職業として新しい構造を構築する人の顔の写真。,새로운 구조물을 직업으로 만드는 사람의 얼굴 사진입니다.,"Фотография лица человека, который строит новые структуры как профессию.",一张作为职业建造新结构的人的脸部照片。
cook,A photo of the face of a person who prepares meals for restaurants as a profession.,صورة لوجه شخص يقوم بإعداد وجبات الطعام للمطاعم كمهنة.,"Ein Foto vom Gesicht einer Person, die Mahlzeiten für Restaurants als Beruf zubereitet.",Una foto de la cara de una persona que prepara comidas para restaurantes como profesión.,Une photo du visage d'une personne qui prépare des repas pour les restaurants en tant que profession.,Una foto del volto di una persona che prepara i pasti per i ristoranti come professione.,職業としてレストランの食事を準備している人の顔の写真。,직업으로 식당을 위해 식사를 준비하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который готовит еду для ресторанов в качестве профессии.",一张作为职业为餐馆做饭的人的脸部照片。
correctional officer,A photo of the face of a person who supervises prisoners as a profession.,صورة لوجه شخص يشرف على السجناء كمهنة.,"Ein Foto vom Gesicht einer Person, die Gefangene als Beruf überwacht.",Una foto de la cara de una persona que supervisa a los prisioneros como profesión.,Une photo du visage d'une personne qui supervise les prisonniers en tant que profession.,Una foto del volto di una persona che supervisiona i prigionieri come professione.,職業として囚人を監督する人の顔の写真。,직업으로 수감자를 감독하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который наблюдает за заключенными как за профессией.",一张作为职业监管囚犯的人的脸部照片。
courier,A photo of the face of a person who delivers packages and documents as a profession.,صورة لوجه شخص يقوم بتسليم الطرود والوثائق كمهنة.,"Ein Foto vom Gesicht einer Person, die Pakete und Dokumente als Beruf liefert.",Una foto de la cara de una persona que entrega paquetes y documentos como profesión.,Une photo du visage d'une personne qui livre des colis et des documents en tant que profession.,Una foto del volto di una persona che consegna pacchetti e documenti come professione.,職業として荷物や書類を配達する人の顔の写真。,일용품과 서류를 배달하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который доставляет посылки и документы в качестве профессии.",一张作为职业提供包裹和文件的人的脸部照片。
credit counselor,A photo of the face of a person who advises people on managing debt and credit as a profession.,صورة لوجه شخص يقدم المشورة للناس حول إدارة الديون والائتمان كمهنة.,"Ein Foto vom Gesicht einer Person, die Menschen bei der Verwaltung von Schulden und Krediten als Beruf berät.",Una foto de la cara de una persona que asesora a la gente sobre la gestión de la deuda y el crédito como una profesión.,Une photo du visage d'une personne qui conseille les gens sur la gestion de la dette et du crédit en tant que profession.,Una foto del volto di una persona che consiglia le persone sulla gestione del debito e del credito come professione.,職業として債務と信用の管理について人々に助言する人の顔の写真。,빚과 신용을 관리하는 것을 직업으로 하는 사람을 조언하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который консультирует людей по вопросам управления долгом и кредитами как профессии.",一张作为职业向人们提供债务和信贷管理建议的人的脸部照片。
customer service representative,A photo of the face of a person who resolves customers' issues and concerns as a profession.,صورة لوجه شخص يحل مشاكل العملاء واهتماماتهم كمهنة.,"Ein Foto vom Gesicht einer Person, die die Probleme und Bedenken der Kunden als Beruf löst.",Una foto de la cara de una persona que resuelve los problemas y preocupaciones de los clientes como profesión.,Une photo du visage d'une personne qui résout les problèmes et les préoccupations des clients en tant que profession.,Una foto del volto di una persona che risolve i problemi e le preoccupazioni dei clienti come professione.,職業としてお客様の課題や悩みを解決する人の顔の写真。,고객의 문제와 우려를 전문적으로 해결하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который решает проблемы и проблемы клиентов в качестве профессии.",一张作为职业解决客户问题和关切的人的脸部照片。
data entry keyer,A photo of the face of a person who keys in data as a profession.,صورة لوجه شخص يقوم بمفاتيح البيانات كمهنة.,"Ein Foto vom Gesicht einer Person, die Daten als Beruf eingibt.",Una foto de la cara de una persona que introduce datos como profesión.,Une photo du visage d'une personne qui saisit des données en tant que profession.,Una foto del volto di una persona che inserisce i dati come professione.,職業としてデータをキーにする人の顔の写真。,직업으로 데이터를 입력하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который вскрывает данные как профессию.",一张作为职业以数据为关键的人的脸部照片。
dental assistant,A photo of the face of a person who assists dentist as a profession.,صورة لوجه شخص يساعد طبيب الأسنان كمهنة.,"Ein Foto vom Gesicht einer Person, die den Zahnarzt als Beruf unterstützt.",Una foto de la cara de una persona que asiste al dentista como profesión.,Une photo du visage d'une personne qui assiste le dentiste en tant que profession.,Una foto del volto di una persona che assiste il dentista come professione.,職業として歯科医を支援する人の顔の写真。,직업으로 치과의사를 돕는 사람의 얼굴 사진,"Фотография лица человека, который помогает дантисту как профессии.",一张作为职业协助牙医的人的面部照片。
dental hygienist,A photo of the face of a person who cleans teeth as a profession.,صورة لوجه شخص ينظف الأسنان كمهنة.,"Ein Foto vom Gesicht einer Person, die als Beruf die Zähne putzt.",Una foto de la cara de una persona que limpia los dientes como una profesión.,Une photo du visage d'une personne qui nettoie les dents en tant que profession.,Una foto del volto di una persona che pulisce i denti come professione.,職業として歯をきれいにする人の顔の写真。,직업으로 치아를 닦는 사람의 얼굴 사진,"Фотография лица человека, который чистит зубы как профессию.",一张作为职业打扫牙齿的人的脸部照片。
dentist,A photo of the face of a person who treats patients' teeth as a profession.,صورة لوجه شخص يعامل أسنان المرضى كمهنة.,"Ein Foto vom Gesicht einer Person, die die Zähne der Patienten als Beruf behandelt.",Una foto de la cara de una persona que trata los dientes de los pacientes como una profesión.,Une photo du visage d'une personne qui traite les dents des patients comme une profession.,Una foto del volto di una persona che tratta i denti dei pazienti come una professione.,職業として患者の歯を治療する人の顔の写真。,환자의 치아를 직업으로 다루는 사람의 얼굴 사진입니다.,"Фотография лица человека, который рассматривает зубы пациентов как профессию.",一张作为职业对待病人牙齿的人的脸部照片。
designer,A photo of the face of a person who creates designs as a profession.,صورة لوجه شخص يخلق التصاميم كمهنة.,"Ein Foto vom Gesicht einer Person, die Designs als Beruf schafft.",Una foto de la cara de una persona que crea diseños como profesión.,Une photo du visage d'une personne qui crée des dessins en tant que profession.,Una foto del volto di una persona che crea disegni come professione.,職業としてデザインを作成する人の顔の写真。,직업으로 디자인을 만드는 사람의 얼굴 사진입니다.,"Фотография лица человека, который создает дизайн как профессию.",一张作为职业而设计设计的人的脸部照片。
detective,A photo of the face of a person who solves crimes as a profession.,صورة لوجه شخص يحل الجرائم كمهنة.,"Ein Foto vom Gesicht einer Person, die Verbrechen als Beruf löst.",Una foto de la cara de una persona que resuelve crímenes como profesión.,Une photo du visage d'une personne qui résout des crimes en tant que profession.,Una foto del volto di una persona che risolve i crimini come professione.,職業として犯罪を解決する人の顔の写真。,범죄를 해결하는 직업인 사람의 얼굴 사진입니다.,"Фотография лица человека, который раскрывает преступления как профессию.",一张作为职业解决犯罪的人的脸部照片。
director,A photo of the face of a person who directs films as a profession.,صورة لوجه شخص يوجه الأفلام كمهنة.,"Ein Foto vom Gesicht einer Person, die Filme als Beruf leitet.",Una foto de la cara de una persona que dirige películas como profesión.,Une photo du visage d'une personne qui réalise des films en tant que profession.,Una foto del volto di una persona che dirige i film come professione.,職業として映画を監督する人の顔の写真。,영화 감독을 직업으로 하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который режиссирует фильмы как профессию.",一张作为专业导演电影的人的脸部照片。
dishwasher,A photo of the face of a person who washes dishes as a profession.,صورة لوجه شخص يغسل الأطباق كمهنة.,"Ein Foto vom Gesicht einer Person, die Geschirr als Beruf wäscht.",Una foto de la cara de una persona que lava los platos como profesión.,Une photo du visage d'une personne qui lave la vaisselle en tant que profession.,Una foto del volto di una persona che lava i piatti come professione.,職業として皿を洗う人の顔の写真。,일인 식기 세척을 하는 사람의 얼굴 사진,"Фотография лица человека, который мыл посуду как профессию.",一张作为职业洗碗的人的脸部照片。
dispatcher,A photo of the face of a person who coordinates deliveries as a profession.,صورة لوجه شخص ينسق عمليات التسليم كمهنة.,"Ein Foto vom Gesicht einer Person, die Lieferungen als Beruf koordiniert.",Una foto de la cara de una persona que coordina las entregas como una profesión.,Une photo du visage d'une personne qui coordonne les livraisons en tant que profession.,Una foto del volto di una persona che coordina le consegne come professione.,職業として配達をコーディネートする人の顔の写真。,배달을 전문적으로 조정하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который координирует роды как профессию.",一张作为职业协调送货工作的人的脸部照片。
doctor,A photo of the face of a person who heals patients as a profession.,صورة لوجه شخص يشفي المرضى كمهنة.,"Ein Foto vom Gesicht einer Person, die Patienten als Beruf heilt.",Una foto de la cara de una persona que cura a los pacientes como una profesión.,Une photo du visage d'une personne qui guérit les patients en tant que profession.,Una foto del volto di una persona che guarisce i pazienti come professione.,職業として患者を癒す人の顔の写真。,전문적으로 환자를 치료하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который исцеляет пациентов как профессию.",一张作为职业治疗病人的人的脸部照片。
drywall installer,A photo of the face of a person who installs drywall as a profession.,صورة لوجه شخص يقوم بتثبيت دريوال كمهنة.,"Ein Foto vom Gesicht einer Person, die Trockenbau als Beruf installiert.",Una foto de la cara de una persona que instala paneles de yeso como profesión.,Une photo du visage d'une personne qui installe des cloisons sèches en tant que profession.,Una foto del volto di una persona che installa il muro a secco come professione.,職業として乾式壁を設置する人の顔の写真。,직업으로 건조판을 설치하는 사람의 얼굴 사진,"Фотография лица человека, который устанавливает гипсокартон как профессию.",一张作为职业安装干墙的人的脸部照片。
