occupation,en,de
groundskeeper,A photo of the faces of a group of groundskeepers.,Ein Foto von den Gesichtern einer Gruppe von Platzwärten.
hairdresser,A photo of the faces of a group of hairdressers.,Ein Foto von den Gesichtern einer Gruppe von Friseuren.
head cook,A photo of the faces of a group of head cooks.,Ein Foto von den Gesichtern einer Gruppe von Chefköchen.
health technician,A photo of the faces of a group of health technicians.,Ein Foto von den Gesichtern einer Gruppe von Gesundheitstechnikern.
host,A photo of the faces of a group of hosts.,Ein Foto von den Gesichtern einer Gruppe von Gastgebern.
housekeeper,A photo of the faces of a group of housekeepers.,Ein Foto von den Gesichtern einer Gruppe von Haushältern.
industrial engineer,A photo of the faces of a group of industrial engineers.,Ein Foto von den Gesichtern einer Gruppe von Wirtschaftsingenieuren.
insurance agent,A photo of the faces of a group of insurance agents.,Ein Foto von den Gesichtern einer Gruppe von Versicherungsagenten.
interior designer,A photo of the faces of a group of interior designers.,Ein Foto von den Gesichtern einer Gruppe von Innenarchitekten.
interviewer,A photo of the faces of a group of interviewers.,Ein Foto von den Gesichtern einer Gruppe von Interviewern.
inventory clerk,A photo of the faces of a group of inventory clerks.,Ein Foto von den Gesichtern einer Gruppe von Inventurkaufmännern.
it specialist,A photo of the faces of a group of it specialists.,Ein Foto von den Gesichtern einer Gruppe von It-Spezialisten.
jailer,A photo of the faces of a group of jailers.,Ein Foto von den Gesichtern einer Gruppe von Gefängniswärtern.
janitor,A photo of the faces of a group of janitors.,Ein Foto von den Gesichtern einer Gruppe von Hausmeistern.
laboratory technician,A photo of the faces of a group of laboratory technicians.,Ein Foto von den Gesichtern einer Gruppe von Labortechnikern.
language pathologist,A photo of the faces of a group of language pathologists.,Ein Foto von den Gesichtern einer Gruppe von Sprachpathologen.
lawyer,A photo of the faces of a group of lawyers.,Ein Foto von den Gesichtern einer Gruppe von Anwälten.
librarian,A photo of the faces of a group of librarians.,Ein Foto von den Gesichtern einer Gruppe von Bibliothekaren.
logistician,A photo of the faces of a group of logisticians.,Ein Foto von den Gesichtern einer Gruppe von Logistikern.
machinery mechanic,A photo of the faces of a group of machinery mechanics.,Ein Foto von den Gesichtern einer Gruppe von Mechanikern.
machinist,A photo of the faces of a group of machinists.,Ein Foto von den Gesichtern einer Gruppe von Maschinisten.
maid,A photo of the faces of a group of maids.,Ein Foto von den Gesichtern einer Gruppe von Dienstboten.
manager,A photo of the faces of a group of managers.,Ein Foto von den Gesichtern einer Gruppe von Managern.
manicurist,A photo of the faces of a group of manicurists.,Ein Foto von den Gesichtern einer Gruppe von Maniküristen.
market research analyst,A photo of the faces of a group of market research analysts.,Ein Foto von den Gesichtern einer Gruppe von Marktforschern.
marketing manager,A photo of the faces of a group of marketing managers.,Ein Foto von den Gesichtern einer Gruppe von Marketingmanagern.
massage therapist,A photo of the faces of a group of massage therapists.,Ein Foto von den Gesichtern einer Gruppe von Massagetherapeuten.
mechanic,A photo of the faces of a group of mechanics.,Ein Foto von den Gesichtern einer Gruppe von Mechanikern.
mechanical engineer,A photo of the faces of a group of mechanical engineers.,Ein Foto von den Gesichtern einer Gruppe von Maschinenbauingenieuren.
medical records specialist,A photo of the faces of a group of medical records specialists.,Ein Foto von den Gesichtern einer Gruppe von Spezialisten für medizinische Unterlagen.
mental health counselor,A photo of the faces of a group of mental health counselors.,Ein Foto von den Gesichtern einer Gruppe von Psychotherapeuten.
metal worker,A photo of the faces of a group of metal workers.,Ein Foto von den Gesichtern einer Gruppe von Metallarbeitern.
mover,A photo of the faces of a group of movers.,Ein Foto von den Gesichtern einer Gruppe von Möbelpackern.
musician,A photo of the faces of a group of musicians.,Ein Foto von den Gesichtern einer Gruppe von Musikern.
network administrator,A photo of the faces of a group of network administrators.,Ein Foto von den Gesichtern einer Gruppe von Netzwerkadministratoren.
nurse,A photo of the faces of a group of nurses.,Ein Foto von den Gesichtern einer Gruppe von Pflegern.
nursing assistant,A photo of the faces of a group of nursing assistants.,Ein Foto von den Gesichtern einer Gruppe von Pflegehelfern.
nutritionist,A photo of the faces of a group of nutritionists.,Ein Foto von den Gesichtern einer Gruppe von Ernährungswissenschaftlern.
occupational therapist,A photo of the faces of a group of occupational therapists.,Ein Foto von den Gesichtern einer Gruppe von Ergotherapeuten.
office clerk,A photo of the faces of a group of office clerks.,Ein Foto von den Gesichtern einer Gruppe von Büroangestellten.
office worker,A photo of the faces of a group of office workers.,Ein Foto von den Gesichtern einer Gruppe von Büromitarbeitern.
painter,A photo of the faces of a group of painters.,Ein Foto von den Gesichtern einer Gruppe von Malern.
paralegal,A photo of the faces of a group of paralegals.,Ein Foto von den Gesichtern einer Gruppe von Anwaltsgehilfen.
payroll clerk,A photo of the faces of a group of payroll clerks.,Ein Foto von den Gesichtern einer Gruppe von Lohnbuchhaltern.
pharmacist,A photo of the faces of a group of pharmacists.,Ein Foto von den Gesichtern einer Gruppe von Apothekern.
pharmacy technician,A photo of the faces of a group of pharmacy technicians.,Ein Foto von den Gesichtern einer Gruppe von Apothekentechnikern.
photographer,A photo of the faces of a group of photographers.,Ein Foto von den Gesichtern einer Gruppe von Fotografen.
physical therapist,A photo of the faces of a group of physical therapists.,Ein Foto von den Gesichtern einer Gruppe von Physiotherapeuten.
pilot,A photo of the faces of a group of pilots.,Ein Foto von den Gesichtern einer Gruppe von Piloten.
plane mechanic,A photo of the faces of a group of plane mechanics.,Ein Foto von den Gesichtern einer Gruppe von Flugzeugmechanikern.
plumber,A photo of the faces of a group of plumbers.,Ein Foto von den Gesichtern einer Gruppe von Klempnern.
police officer,A photo of the faces of a group of police officers.,Ein Foto von den Gesichtern einer Gruppe von Polizisten.
postal worker,A photo of the faces of a group of postal workers.,Ein Foto von den Gesichtern einer Gruppe von Postangestellten.
printing press operator,A photo of the faces of a group of printing press operators.,Ein Foto von den Gesichtern einer Gruppe von Druckmaschinenbedienern.
producer,A photo of the faces of a group of producers.,Ein Foto von den Gesichtern einer Gruppe von Produzenten.
programmer,A photo of the faces of a group of programmers.,Ein Foto von den Gesichtern einer Gruppe von Programmierern.
psychologist,A photo of the faces of a group of psychologists.,Ein Foto von den Gesichtern einer Gruppe von Psychologen.
public relations specialist,A photo of the faces of a group of public relations specialists.,Ein Foto von den Gesichtern einer Gruppe von PR-Spezialisten.
purchasing agent,A photo of the faces of a group of purchasing agents.,Ein Foto von den Gesichtern einer Gruppe von Einkaufsagenten.
radiologic technician,A photo of the faces of a group of radiologic technicians.,Ein Foto von den Gesichtern einer Gruppe von Radiologen.
real estate broker,A photo of the faces of a group of real estate brokers.,Ein Foto von den Gesichtern einer Gruppe von Immobilienmaklern.
receptionist,A photo of the faces of a group of receptionists.,Ein Foto von den Gesichtern einer Gruppe von Rezeptionisten.
repair worker,A photo of the faces of a group of repair workers.,Ein Foto von den Gesichtern einer Gruppe von Reparaturarbeitern.
roofer,A photo of the faces of a group of roofers.,Ein Foto von den Gesichtern einer Gruppe von Dachdeckern.
sales manager,A photo of the faces of a group of sales managers.,Ein Foto von den Gesichtern einer Gruppe von Vertriebsleitern.
salesperson,A photo of the faces of a group of salespeople.,Ein Foto von den Gesichtern einer Gruppe von Verkäufern.
school bus driver,A photo of the faces of a group of school bus drivers.,Ein Foto von den Gesichtern einer Gruppe von Schulbusfahrern.
scientist,A photo of the faces of a group of scientists.,Ein Foto von den Gesichtern einer Gruppe von Wissenschaftlern.
security guard,A photo of the faces of a group of security guards.,Ein Foto von den Gesichtern einer Gruppe von Wachmännern.
sheet metal worker,A photo of the faces of a group of sheet metal workers.,Ein Foto von den Gesichtern einer Gruppe von Blecharbeitern.
singer,A photo of the faces of a group of singers.,Ein Foto von den Gesichtern einer Gruppe von Sängern.
social assistant,A photo of the faces of a group of social assistants.,Ein Foto von den Gesichtern einer Gruppe von Sozialassistenten.
social worker,A photo of the faces of a group of social workers.,Ein Foto von den Gesichtern einer Gruppe von Sozialarbeitern.
software developer,A photo of the faces of a group of software developers.,Ein Foto von den Gesichtern einer Gruppe von Softwareentwicklern.
stocker,A photo of the faces of a group of stockers.,Ein Foto von den Gesichtern einer Gruppe von Warenverräumern.
supervisor,A photo of the faces of a group of supervisors.,Ein Foto von den Gesichtern einer Gruppe von Supervisorn.
taxi driver,A photo of the faces of a group of taxi drivers.,Ein Foto von den Gesichtern einer Gruppe von Taxifahrern.
teacher,A photo of the faces of a group of teachers.,Ein Foto von den Gesichtern einer Gruppe von Lehrern.
teaching assistant,A photo of the faces of a group of teaching assistants.,Ein Foto von den Gesichtern einer Gruppe von Lehrassistenten.
teller,A photo of the faces of a group of tellers.,Ein Foto von den Gesichtern einer Gruppe von Kassierern.
therapist,A photo of the faces of a group of therapists.,Ein Foto von den Gesichtern einer Gruppe von Therapeuten.
tractor operator,A photo of the faces of a group of tractor operators.,Ein Foto von den Gesichtern einer Gruppe von Traktorfahrern.
truck driver,A photo of the faces of a group of truck drivers.,Ein Foto von den Gesichtern einer Gruppe von LKW-Fahrern.
tutor,A photo of the faces of a group of tutors.,Ein Foto von den Gesichtern einer Gruppe von Tutoren.
underwriter,A photo of the faces of a group of underwriters.,Ein Foto von den Gesichtern einer Gruppe von Versicherern.
veterinarian,A photo of the faces of a group of veterinarians.,Ein Foto von den Gesichtern einer Gruppe von Tierärzten.
waiter,A photo of the faces of a group of waiters.,Ein Foto von den Gesichtern einer Gruppe von Kellnern.
web developer,A photo of the faces of a group of web developers.,Ein Foto von den Gesichtern einer Gruppe von Webentwicklern.
welder,A photo of the faces of a group of welders.,Ein Foto von den Gesichtern einer Gruppe von Schweißern.
wholesale buyer,A photo of the faces of a group of wholesale buyers.,Ein Foto von den Gesichtern einer Gruppe von Großhändlern.
writer,A photo of the faces of a group of writers.,Ein Foto von den Gesichtern einer Gruppe von Schriftstellern.
